store,raw_product_type,product_count,canonical_category
stephanis,Kids Costumes 3-12 years,164,
stephanis,Key Chains,162,
stephanis,Tv Brackets,153,
stephanis,Toners,150,
stephanis,Adapters,143,
stephanis,Gaming Mouse Pads,141,
stephanis,Blenders,140,
stephanis,Shoes,140,
stephanis,Alkaline Batteries,139,
stephanis,Gaming Chairs,139,
stephanis,Accessories for Action Cameras,133,
stephanis,Fans,129,
stephanis,Extensions,128,
stephanis,Mouse,127,
stephanis,Tablets,125,tablets
stephanis,Hair Straightener and Curler,122,
stephanis,LED String Lights,118,
stephanis,Button Cell Batteries,118,
stephanis,Tablet Cases,117,
stephanis,Kettles,113,
stephanis,Party Speakers,110,speakers
stephanis,Plushies,105,
stephanis,Hanging Ornaments,103,
stephanis,Compact cameras,100,cameras
stephanis,Hair Dryer,99,
stephanis,Coffee Machines,97,coffee_machines
stephanis,Keyboards,97,
stephanis,Artificial Potted Plants,97,
stephanis,Cleaning Accessories,95,
stephanis,Radios,92,
stephanis,Printers All-in-One,91,
stephanis,Upright Vacuum/Mop Cleaners,91,vacuums
stephanis,Routers,88,
stephanis,Pots & Planters,88,
stephanis,Board Games,85,
stephanis,Cordless Phones,84,
stephanis,Puzzles,84,
stephanis,Toasters,84,
stephanis,Clothing,80,
stephanis,Console Cases,79,
stephanis,Table Dining,79,
stephanis,Refrigerators,77,refrigerators
stephanis,Pre-Lit Artificial Trees,76,
stephanis,Notebooks/PC Power Supplies,76,
stephanis,Sound Bars,75,speakers
stephanis,Robotic Vacuum & Mopping Cleaners,75,vacuums
stephanis,USB Memory Sticks,74,
stephanis,Pre-lit/Unlit Wooden,73,
stephanis,Car & Desk Holders,71,
stephanis,IP Cameras,67,smart_home
stephanis,Solar Garden Lights,66,
stephanis,Remote Controls,66,
stephanis,PC,66,desktops
stephanis,Fryers,66,air_fryers
stephanis,Massager,65,
stephanis,Adult Costumes,65,
stephanis,Flowers,63,
stephanis,Memory cards,63,
stephanis,Microphones Multimedia,63,
stephanis,Branches,62,
stephanis,Antenna Cables,62,
stephanis,Electric Scooters,62,
stephanis,Christmas Bags,60,
stephanis,Wireless Chargers,60,
stephanis,Electric Toothbrushes,59,
stephanis,Cylinder Vacuum Cleaners,59,vacuums
stephanis,Pre-Lit/Unlit Room Decoration,58,
stephanis,Feature phones,58,smartphones
stephanis,Air Conditioners,58,air_conditioners
stephanis,Hair Trimmer,57,
stephanis,Body Fat Scales,57,
stephanis,Alarm Clocks,56,
stephanis,Hair Clipper,56,
stephanis,Artificial Flowers & Greenery,56,
stephanis,Desktop PCs,55,desktops
stephanis,Carnival Masks,51,
stephanis,Carnival Make-Up & Prosthetics,49,
stephanis,Charging Accessories,48,
stephanis,Corded Phones,48,
stephanis,Washing Machines,48,washing_machines
stephanis,Action Cameras,46,cameras
stephanis,Tables & Chairs,46,
stephanis,Fun Party Dress,45,
stephanis,Earphones,45,headphones
stephanis,(empty),44,
stephanis,Blankets,44,
stephanis,Iron Steam Generators,43,
stephanis,Beauty Devices,42,
stephanis,Pet Various Accessories,42,
stephanis,Lead Acid Batteries,41,
stephanis,Mixers/Kitchen Machines,41,
stephanis,Pre-Lit/Unlit Artificial Trees,41,
stephanis,Car Stereo,40,
stephanis,Ovens,40,ovens
stephanis,Multiport Adapters,40,
stephanis,Accessories for Hoverboards/Scooters,39,
stephanis,Heaters,39,
stephanis,Pre-Lit Curtains,38,
stephanis,School Bags,38,
stephanis,Activities,38,
stephanis,Educational,38,
stephanis,Stationery,37,
stephanis,Sandwich Toasters,37,
stephanis,Rechargeable Batteries,37,
stephanis,Microwaves,37,ovens
stephanis,Toddlers Costumes 1-3 years,37,
stephanis,Hobs,36,ovens
stephanis,PC Speakers,36,speakers
stephanis,Carrying Bags,36,
stephanis,Cases & Bags,35,
stephanis,Juicer,34,
stephanis,Outdoor Toys,34,
stephanis,Cooler Bags & Water Thermos,34,
stephanis,Trading Cards,34,
stephanis,Air Purifier/Dehumidifiers,33,
stephanis,Shavers,33,
stephanis,Adaptors,32,
stephanis,Towels,32,
stephanis,Cooker,32,ovens
stephanis,Gift Cards,32,
stephanis,Carnival Wigs,32,
stephanis,Small Nutcrackers,31,
stephanis,Mirrorless cameras,31,cameras
stephanis,Stands & Holders,31,
stephanis,Gaming Desks,31,
stephanis,Hub Switches,31,
stephanis,GPS Tracking Systems,31,
stephanis,Irons,31,
stephanis,Cutlery,31,
stephanis,Mouse Pads,30,
stephanis,Video Projectors,30,
stephanis,Shredders,29,
stephanis,Tripods & Monopods,29,
stephanis,Monitor Cables,28,
stephanis,Fitness Bands,27,smartwatches
stephanis,Hi-Fi,27,speakers
stephanis,Hats,27,
stephanis,AirPods Accessories,27,
stephanis,Pre-Lit 3D Designs,26,
stephanis,Weather Stations,26,
stephanis,Clocks,26,
stephanis,All in One PCs,26,desktops
stephanis,Vacuum Bags,25,
stephanis,Pre-Lit/Unlit Candles,25,
stephanis,External Hard Disks (HDD),25,
stephanis,Microphones,25,
stephanis,Frappe Mixers,25,coffee_machines
stephanis,Hoods,25,
stephanis,Gift Bags,25,
stephanis,Portable CD & Cassete Players,24,
stephanis,Accessories,24,
